软件工程师--二次开发/云计算/视觉非标解决方案,02-08发布,外资（欧美）|150-500人|仪器仪表/工业自动化,15-28万/年,广州,德国西克传感器,3-4年经验,本科,招1人,,软件工程师
云计算销售经理,02-08发布,"民营公司|150-500人|计算机软件,互联网/电子商务",1-2万/月,北京,上海道客网络科技有限公司,5-7年经验,大专,招若干人,,销售经理
TEG06-TEG06-高级云计算产品架构师（深圳）(职位编号：36708),02-08发布,民营公司|500-1000人|互联网/电子商务,,深圳,深圳市腾讯计算机系统有限公司,5-7年经验,本科,招2人,负责TStack(企业云计算平台)的产品落地过程跟进；,高级软件工程师
大数据云计算系统工程师,02-08发布,"国企|150-500人|计算机服务(系统、数据服务、维修),政府/公共事业",10-15万/年,北京-昌平区,北京中盾安民分析技术有限公司,无工作经验,本科,招若干人,1.理解OpenStack架构，包括计算，存储，网络，界面等组件；,系统工程师
云计算解决方案经理,02-08发布,"国企|少于50人|计算机服务(系统、数据服务、维修),通信/电信运营、增值服务",1-2万/月,北京-西城区,北京国信新网通讯技术有限公司,无工作经验,,招若干人,岗位职责：,信息技术经理/主管
云计算工程师,02-08发布,"民营公司|50-150人|通信/电信/网络设备,计算机服务(系统、数据服务、维修)",4.5-8千/月,深圳,深圳市时迅迪科技有限公司,无工作经验,本科,招3人,,技术支持/维护工程师
云计算解决方案经理,02-08发布,"上市公司|10000人以上|通信/电信/网络设备,通信/电信运营、增值服务",,西安-高新技术产业开发区,中国移动通信集团陕西有限公司,3-4年经验,本科,招1人,岗位职责：,高级软件工程师
云计算工程师,02-08发布,"外资（欧美）|50-150人|计算机硬件,计算机软件",1.5-2.5万/月,深圳-南山区,深圳普思英察科技有限公司,3-4年经验,本科,招若干人,欢迎先了解各大媒体对我们公司的相关报道：,算法工程师
云计算开发工程师,02-08发布,"合资|1000-5000人|互联网/电子商务,通信/电信运营、增值服务",1.5-2.5万/月,深圳-南山区,深信服科技股份有限公司,2年经验,本科,招若干人,,软件工程师
云计算实施运维工程师,02-08发布,"国企|500-1000人|计算机软件,计算机服务(系统、数据服务、维修)",0.8-1.6万/月,广州,广东利通科技投资有限公司,2年经验,,招2人,岗位职责：,系统集成工程师
